Common Name,Scientific Name,Population Name,Taxon Group,SARA Status,Final Recovery Document Date,Reassessment Date,Recovery Document Objectives,Species Data,Rationale,Are Trends Consistent With Objectives?
Hotwater Physa,Physella wrighti,,Mollusc,Endangered,29/01/2007,12/10/2016,Maintain and protect the population(s) within its natural geographic range and within its current range of abundance.,"Hotwater physa occurs in 3 definable areas. Additional surveys are required to assess the population trend but the current evidence does not indicate a decline in the population. As of 2008 populations appeared to be stable, with seasonal fluctuations. Potential increases were observed from 2008 to 2013, but inconsistent methodology and low sample sizes make comparisons difficult. The trend remains unclear.","Although populations fluctuate widely, there appears to be no change to abundance or distribution.",Yes
Incurved Grizzled Moss,Ptychomitrium incurvum,,Moss,Extirpated,20/11/2007,01/05/2012,Recovery of this species is considered not technically or biologically feasible at this time. Determination of recovery feasibility will be re-evaluated in response to changing conditions and/or knowledge.,"No change. There has been no change in the documented size of, or trends in, the Canadian population.",n/a,Not feasible
Island Blue,Plebejus saepiolus insulanus,,Insect,Endangered,15/07/2008,01/05/2012,"Confirm the presence of the subspecies within its historic range in Canada, and protect any extant populations.","This species has not been documented in the field since 1979. However, search effort is insufficient to conclude that the species is extinct.",n/a,Operational goals
Island Marble,Euchloe ausonides insulanus,,Insect,Extirpated,11/08/2006,01/04/2010,"Attain viable, self-sustaining populations within the species' historic range in Canada.","This butterfly was formerly found on 2 islands off the west coast, but disappeared from both sites by 1910 because of loss of the larval host plant. The historic Canadian range of the Island Marble has been extensively surveyed since 2001 in an effort to locate it along with other at-risk butterflies. During these surveys, neither the Island Marble nor apparently suitable habitat has been detected. All available evidence suggests that the Island Marble is extirpated in Canada.",Available evidence suggests the Island Marble is extirpated in Canada.,No
Karner Blue,Plebejus samuelis,,Insect,Extirpated,06/03/2019,01/05/2019,Maintain and/or increase sufficient suitable habitat to support a metapopulation (20-30yrs),Species has not been observed since 1991.,Species has not been observed since 1991,Operational goals
Kidneyshell,Ptychobranchus fasciolaris,,Mollusc,Endangered,13/07/2006,11/06/2013,Maintain healthy self-sustaining populations in the Ausable and Sydenham rivers while returning the Lake St. Clair delta population to a self-sustaining level. Re-establish populations in historically occupied habitats.,"The Kidneyshell is now Extirpated in upper and lower Thames and Grand Rivers and in Lake Erie off Pelee Island. Currently, the species is restricted to the East Sydenham and Ausable rivers, Lake St. Clair delta, and Medway Creek of the Thames River. Populations continue to decline in Lake St. Clair and Ausable River, while populations in the Sydenham River appear stable. Both Ausable and East Sydenham river populations appear to be reproducing but populations in Medway Creek and Lake St. Clair are not reproducing. The extent of occurrence declined to 2050 square kilometres in 2001, but has subsequently increased to 2866 square kilometres over the last 10 years, largely due to increased search effort.","Although populations in the Sydenham River appear stable, populations continue to decline in Lake St. Clair and Ausable River.",No
Killer Whale,Orcinus orca,Northeast Pacific transient population,Mammal,Threatened,13/12/2007,13/07/2015,Maintain current population sizes at or above the current level. Maintain number of breeding females at levels that will provide a neutral or positive growth rate. Attain the long-term viability of the population.,"This population has approximately 122 mature individuals. The population has been increasing since the mid-1970s when monitoring began, due to intrinsic growth and immigration. Since 1990, population growth has slowed due to reduced immigration.",The population has been increasing.,Yes
Killer Whale,Orcinus orca,Northeast Pacific northern resident population,Mammal,Threatened,14/03/2008,29/09/2016,"Achieve and maintain demographic conditions that preserve reproductive potential, genetic variation, and cultural continuity.",This population has been increasing slowly since monitoring began in 1975. There are 290 animals in the population as of 2015 and it is considered to be stable or increasing.,Population trend is increasing or stable.,Yes
Killer Whale,Orcinus orca,Northeast Pacific southern resident population,Mammal,Endangered,14/03/2008,29/09/2016,"Achieve and maintain demographic conditions that preserve reproductive potential, genetic variation, and cultural continuity.","The population is small and has declined since the mid-1990s. As of 2015, there are 84 animals in the population. The population is currently considered to be stable.","Only 84 animals in the population, with a stable trend.",No
Kirtland's Warbler,Setophaga kirtlandii,,Bird,Endangered,25/10/2006,01/04/2008,Determine if a breeding population exists in Canada. Manage habitat at selected locations in Canada to encourage the recovery of the species.,"This species has been recorded in Canada almost annually since 1990. In Michigan, the stronghold of the species range, the population increased from a low of 167 singing males in 1974 to 1479 in 2006. Singing males in suitable breeding habitat have been recorded sporadically, and breeding has been confirmed twice, most recently in 2007 at CFB Petawawa.",There have been signs of a breeding population in Canada.,Operational goals
Lake Chubsucker,Erimyzon sucetta,,"Fish, freshwater",Endangered,04/06/2010,25/09/2017,Maintain current populations and restore viable populations to formerly occupied wetland habitats.,"Canadian collections have not been made in a standardized manner, nor have there been specific studies on population size, making it difficult to assess population sizes and trends; however, the paucity of records suggests low abundance.","It is difficult to establish viable population and distribution objectives in the absence of detailed population records; therefore, further monitoring and assessment should be conducted to refine the extent of the species’ distribution and determine its prevalence within its current distribution.",Insufficient data to determine trends
Large-headed Woolly Yarrow,Achillea millefolium var. megacephalum,,"Vascular plant, herb",Special Concern,18/12/2013,01/04/2018,Maintain current population density and area of occupancy.,Population estimated to be 910 000 to 6 950 000 individuals. Potential decline in extent of occurrence based on forest ingress along western margins of William River dunes. Decline in habitat due to net conversion of open dune area to forest.,No information available to directly assess population trends,Insufficient data to determine trends
Leatherback Sea Turtle,Dermochelys coriacea,Atlantic population,Reptile,Endangered,23/02/2007,20/12/2013,Increase the population such that the long-term viability of the leatherback turtles frequenting Atlantic Canadian waters is achieved.,"The size of the seasonal foraging population in Canada is not known, but sightings data suggest that it numbers in the thousands in Atlantic waters. Most major western Atlantic nesting populations may be stable or increasing slightly. Trends from nesting beaches known to or most likely to contribute to the population found in Canadian waters are used as proxies.",The population appears to be stable or slightly increasing.,Yes
Leatherback Sea Turtle,Dermochelys coriacea,Pacific population,Reptile,Endangered,23/02/2007,13/07/2015,Achieve the long-term viability of the leatherback turtle population(s) that frequent Pacific Canadian waters.,"Sightings in Pacific Canadian waters are sparse and the number of turtles using these waters is not known. The beaches from which they likely originate have had their numbers of nesting females reduced by more than 90% in recent decades. Most nesting colonies in the Pacific are in steep decline, falling as much as 95% in less than 1 generation.",Nesting colonies in the Pacific are in a steep and continuing decline.,No
Louisiana Waterthrush,Parkesia motacilla,,Bird,Threatened,01/08/2012,01/11/2015,Maintain the current size and distribution of the population in Canada.,"Population trends are poorly understood. The species has declined locally in parts of Canada in the past century and in the past few decades, but surveys have found higher numbers in some parts of the Canadian range in recent years.","Declines have been noted in some parts of the Canadian range, while new pairs have been found in others.",Mixed evidence
Mackenzie Hairgrass,Deschampsia mackenzieana,,"Vascular plant, herb",Special Concern,18/12/2013,01/04/2018,Maintain current population density and area of occupancy.,Population estimated to be 3 040 000 to 25 000 000 individuals. Potential decline in extent of occurrence based on forest ingress along western margins of William River dunes. Decline in habitat due to net conversion of open dune area to forest.,No information available to directly assess population trends,Insufficient data to determine trends
Margined Streamside Moss,Scouleria marginata,,Moss,Endangered,02/05/2008,01/05/2012,Confirm presence in Canada. Protect and maintain any extant populations.,"No change. This moss is a large, showy species that occurs just above water's edge along small montane streams. A rare North American endemic, its northernmost and single occurrence in Canada is in southern British Columbia. Although the species was not relocated at this station in recent surveys, the species may be present in nearby watersheds.",No new sightings of this species in Canada have been recorded.,Operational goals
McCown's Longspur,Rhynchophanes mccownii,,Bird,Threatened,30/10/2014,01/04/2016,Maintain or improve the recent (since 1996) population and distribution in Canada.,The species declined by at least 30% between 2002 and 2012.,There has been a continuing decline in the number of individuals.,No
Monarch,Danaus plexippus,,Insect,Special Concern,04/10/2016,01/11/2016,"Ensure the conservation of the Monarch butterfly migratory phenomenon. By 2020, 6 hectares of overwintering habitat in Mexico occupied.","Population size estimates are not available for Canada. The overwintering population in Mexico, as measured by area of occupied habitat, declined significantly between 1994 and 2015. Four hectares of habitat were occupied in 2015.",It is too early to assess progress towards objectives.,Insufficient data to determine trends
Mormon Metalmark,Apodemia mormo,Prairie population,Insect,Special Concern,14/01/2008,14/03/2018,"Map habitat, find any additional colonies, determine population size, start stewardship activities.",Designated Threatened in May 2003. Status re-examined and designated Special Concern in May 2014.,n/a,Operational goals
Mountain Plover,Charadrius montanus,,Bird,Endangered,25/10/2006,01/11/2009,Maintain recent abundance and distribution.,No more than 11 birds have been recorded in Canada within one year. This species may not consistently breed in Canada. An increase in records during the last 30 years may be due to increased search effort in later years.,Long-term trends cannot be established with existing data.,Insufficient data to determine trends
Nooksack Dace,Rhinichthys cataractae ssp.,,"Fish, freshwater",Endangered,09/06/2008,12/10/2016,"By 2015, all currently and historically suitable habitats in native streams to be occupied at target abundance levels.",Insufficient data exist to reliably calculate population sizes.,Population trends are unknown.,Insufficient data to determine trends
North Atlantic Right Whale,Eubalaena glacialis,,Mammal,Endangered,16/06/2009,06/10/2016,Achieve an increasing trend in population abundance over 3 generations.,"Between 2009 and 2014, the population estimate increased from 438 to 522. The population increased by about 50% between 1990 and 2010.",Population has increased from 1990 to 2014.,Yes
North Pacific Right Whale,Eubalaena japonica,,Mammal,Endangered,11/08/2011,01/05/2015,Work towards an increasing population trajectory. Promote reoccupation of historical habitat in Pacific Canadian waters.,Presence was confirmed in Canada in 2013. Numbers in the eastern North Pacific are extremely small (less than 50 individuals). There is no data on the population trend.,Population trends are unknown.,Insufficient data to determine trends
Northern Abalone,Haliotis kamtschatkana,,Mollusc,Endangered,27/09/2007,13/07/2015,"By 2012, halt the decline of the existing wild population. By 2037, increase number and densities to self-sustainable levels in each biogeographic zone of British Columbia.","Since the fisheries closure, total abalone density estimates have been fluctuating at low levels and there have been no statistically significant changes. Poaching is the most serious threat and continues to reduce population abundance, particularly the larger animals; however, all size classes have declined significantly over the past 3 generations with mature individuals declining an estimated 88 to 89%. The densities of mature abalone in each of the out-planting sites have remained below objectives.",There has been no evidence of population recovery since the fishery closed in 1990.,No
Northern Bottlenose Whale,Hyperoodon ampullatus,Scotian Shelf population,Mammal,Endangered,17/05/2010,09/06/2016,Achieve a stable or increasing population. Maintain or extend current distribution.,"This well-studied population contains an estimated 164 individuals, of which approximately 93 are mature. The population appears to be stable but it is very small and at risk from entanglement in fishing gear and possibly also from anthropogenic noise and from exposure to contaminants.",The population appears to be stable and there has been no decline in the area of occupancy.,Yes
Northern Madtom,Noturus stigmosus,,"Fish, freshwater",Endangered,12/06/2012,13/09/2018,"Sustain and enhance the viability of existing populations of Northern Madtom in the Erie-Huron corridor, the Thames River (from Littlejohn Rd. upstream to vicinity of Tate Corners), and the Sydenham River if the species is still present in the system.",Ongoing and/or completed activities indicate that progress is being made toward the goal of recovering Northern Madtom populations in Canada,The recent environmental DNA (eDNA) detections of Northern Madtom within the Sydenham and Grand rivers warrants follow-up sampling to confirm the species presence within these watersheds.,Insufficient data to determine trends
Northern Riffleshell,Epioblasma torulosa rangiana,,Mollusc,Endangered,29/01/2007,11/06/2013,"Return healthy self-sustaining populations to 5 previously occupied locations (Ausable, Grand, Sydenham and Thames rivers and the St. Clair River delta).","The Northern Riffleshell once occurred in 6 locations, but it now appears restricted to the Ausable and Sydenham rivers. The Sydenham River population may have had serious declines in the 1970s and 1980s, but recruitment is now occurring at several sites. This perceived recovery could be an artifact of intensive and increased sampling effort over the past 12 years. The Ausable River population was only discovered in 1998 and since then only 16 live animals have been found.","The trends are consistent with early recovery: the Northern Riffleshell is found in the Sydenham and Ausable rivers, and recruitment is occurring at several sites in the Sydenham River.",Yes
Northern Saw-whet Owl brooksi subspecies,Aegolius acadicus brooksi,,Bird,Threatened,10/04/2014,01/11/2017,Maintain approximately 1800 adults over the species' extent of occurrence.,The current population estimate is of 1756 mature individuals with a inferred decline of 1.3% over the next 15 years.,Population sizes and trends have not been measured directly but projected trends in habitat loss suggest a potential decline in population size.,No
Northern Wolffish,Anarhichas denticulatus,,"Fish, marine",Threatened,27/02/2008,28/08/2013,Increase the population levels and distribution such that the long-term viability of this species is achieved.,"This species underwent strong declines in both abundance and in range size during the 1980s. For the next decade there was little change in status, but since about 2002 there have been small increases in both range size and abundance.",There have been early signs of recovery in distribution and abundance.,Yes
Nugget Moss,Microbryum vlassovii,,Moss,Endangered,21/09/2012,01/11/2016,"Maintain the only known extant population of this species at its location in Canada. Maintain or improve current population size at this location, as well as any other extant populations that may be identified.",This species is known from only 3 localized sites in south-central British Columbia. One of the sites has likely been extirpated and one has not been seen since 1980.,One subpopulation persists but the number of mature individuals is uncertain.,Insufficient data to determine trends
Nuttall's Cottontail nuttallii subspecies,Sylvilagus nuttallii nuttallii,,Mammal,Special Concern,30/12/2015,01/11/2016,"Maintain a stable or increasing population, distributed throughout the species' current range in British Columbia.",The species has a restricted range in the South Okanagan and Similkameen valleys. These habitats have been in decline since the mid-1800s and habitat loss is expected to continue. The number of mature individuals is unknown.,The number of mature individuals is unknown.,Insufficient data to determine trends
Olive-sided Flycatcher,Contopus cooperi,,Bird,Threatened,04/03/2016,01/04/2018,Short term objective is to stop the national decline by 2025 and limit the decline to 10% during this time. Long term objective (after 2025) is to have a 10-year increasing population trend. The distribution objective is to maintain the current extent.,Estimates from different sources suggest that the population may be relatively stable or may be declining by as much as 19% over a 10-year period.,Boreal Avian Modelling Project does not provide evidence of a decline in population between 1997 and 2013. Breeding Bird Survey estimates an annual decline of 2.1% from 2006 to 2016.,Mixed evidence
Olympia Oyster,Ostrea lurida,,Mollusc,Special Concern,30/07/2009,08/09/2017,Maintain stable populations in British Columbia.,"Although the population suffered large-scale declines associated with overharvest between the late 1800s and 1930, it appears to have been stable in recent decades. There are no data on population trends, but populations appear to persist at low levels.","Although quantitative estimates on population sizes are not available, the Olympia Oyster appears to be stable in recent decades.",Yes
Ord's Kangaroo Rat,Dipodomys ordii,,Mammal,Endangered,30/11/2012,01/04/2017,Ensure that self-sustaining populations continue at currently occupied sand hill areas in southeastern Alberta and in southwestern Saskatchewan.,Annual population monitoring in Alberta has revealed a 72% decline in abundance between 2006 and 2015. This is assumed to be representative of the entire Canadian population.,Population size is declining.,No
Ottoe Skipper,Hesperia ottoe,,Insect,Endangered,15/04/2010,01/05/2015,Determine if Ottoe skippers are still extant in Canada.,n/a,n/a,Operational goals
Pacific Water Shrew,Sorex bendirii,,Mammal,Endangered,10/12/2014,01/04/2016,Maintain the known extant populations and supporting habitat. Increase the number and distribution of populations within the species' natural range.,Too few individuals have been captured to allow population trends to be assessed.,Population estimates are not available.,Insufficient data to determine trends
Paddlefish,Polyodon spathula,,"Fish, freshwater",Extirpated,27/02/2008,01/05/2019,Not feasible,n/a,n/a,Not feasible
Pale Yellow Dune Moth,Copablepharon grandis,,Insect,Special Concern,01/02/2016,01/11/2018,Maintain persistence of Pale Yellow Dune Moth at confirmed localities.,Insufficient data to assess population sizes and trends. Historical sites have likely declined due to habitat loss from vegetation ingrowth and dune stabilization.,Habitat is in decline as sand dunes stabilize with vegetation,Insufficient data to determine trends
Paxton Lake Benthic Threespine Stickleback,Gasterosteus aculeatus,,"Fish, freshwater",Endangered,20/07/2007,12/10/2016,Maintain self-sustaining populations of stickleback species pairs in Paxton Lake.,"Limnetics and benthics are locally abundant, and not in apparent decline; the primary factor determining conservation status is their extreme endemism (existing in a single location), not population decline.",Benthics appear to be stable and locally abundant in Paxton Lake.,Yes
Paxton Lake Limnetic Threespine Stickleback,Gasterosteus aculeatus,,"Fish, freshwater",Endangered,20/07/2007,12/10/2016,Maintain self-sustaining populations of stickleback species pairs in Paxton Lake.,"Limnetics and benthics are locally abundant, and not in apparent decline; the primary factor determining conservation status is their extreme endemism (existing in a single location), not population decline.",Limnetics appear to be stable and locally abundant in Paxton Lake.,Yes
Peregrine Falcon anatum/tundrius,Falco peregrinus anatum/tundrius,,Bird,Special Concern,12/10/2017,01/11/2017,Maintain a self-sustaining population of the Peregrine Falcon anatum/tundrius throughout its Canadian range for the next 10 years.,All subpopulations have increased (except Labrador which saw a 5% decrease in documented territories) during the latest 20 year survey periods (either 1990 to 2010 or 1995 to 2015). Lack of recovery in the Okanagan Valley continues to be a concern.,Subpopulations have increased with the highest numbers seen in 2010 and 2015 surveys.,Yes
Pink Coreopsis,Coreopsis rosea,,"Vascular plant, herb",Endangered,08/09/2010,01/11/2012,Maintain extant populations at present levels of abundance or greater at current locations. Restore habitats to re-establish populations.,"The Canadian population is believed to have remained relatively stable within the past 10 to 15 years, with minor declines (less than 2.2%) due to shoreline development. The increased estimate of population sizes in 2012 is almost certainly due to more systematic and comprehensive surveys. Surveys repeated at particular sites over many years have not produced any anecdotal reports of major declines or increases.",The Canadian population is relatively stable; estimates have increased due to increased survey effort.,Yes
Pink Sand-verbena,Abronia umbellata,,"Vascular plant, herb",Endangered,14/02/2007,03/04/2018,"Establish at least 3 populations across its historic range, including the extant Clo-oose Bay population by 2015.",Restoration efforts have been successful at two of four sites and it is currently not possible to conclude that any sub-populations that have been established should be considered viable over the long term.,"In 2017, recovery efforts are successful at only two sites.",No
Pink-footed Shearwater,Puffinus creatopus,,Bird,Endangered,02/05/2008,01/11/2016,Support and augment international efforts to restore and increase populations.,n/a,n/a,Operational goals
Piping Plover circumcinctus subspecies,Charadrius melodus circumcinctus,,Bird,Endangered,25/10/2006,01/11/2013,"Maintain a minimum of 1626 adult Piping Plovers (813 pairs) during each of 3 consecutive international censuses (i.e., over 11 years) in the Prairie Canada population. The Recovery Strategy was amended on 13 Aug 2007. No changes were made to the recovery goals established in 2006.",Counts from the most recent International Piping Plover Census in 2011 indicate an overall Canadian population of approximately 1033 adults of the interior subspecies. The count may be an underestimate because flooding in 2011 reduced available habitat and forced nesting pairs into areas not included in the census. However the consistent flooding since the last census suggests that reduction in population size is expected. Information on population trends for the interior subspecies shows a long-term (1991 to 2011) decline of 22.9% and a short-term decline of 12% over 2001 to 2011.,Population is less than the short-term population goal and declining.,No
Piping Plover melodus subspecies,Charadrius melodus melodus,,Bird,Endangered,15/08/2012,01/11/2013,Short term: Achieve and maintain a regional population of 255 pairs and an annual productivity of 1.65 chicks fledged per territorial pair. Long-term: Increase the population to 310 pairs distributed across eastern Canada.,The 2011 International Piping Plover Census estimated an overall Canadian population of approximately 406 adults. The annual surveys available for the eastern subspecies indicate a population of 389 adults in 2013. Information from annual surveys shows a significant decline of 23% between 2003 and 2013.,Population is less than the short-term population goal and declining.,No
Plymouth Gentian,Sabatia kennedyana,,"Vascular plant, herb",Endangered,08/09/2010,01/11/2012,Maintain extant populations at present levels of abundance or greater at current locations. Restore habitats to re-establish populations.,"Available survey data are insufficient for direct assessment long-term trends, however, populations appear to have been relatively stable between 1984 and 2011. Available evidence suggests that the overall population trend for Canada over the past 15 years is likely a minor decline of less than 2%.","Relative stability is consistent with maintenance of populations, yet a minor decline may have occurred.",Mixed evidence
Poor Pocket Moss,Fissidens pauperculus,,Moss,Endangered,15/04/2010,01/05/2011,Protect and maintain the extant population.,"Poor Pocket Moss occurs in only 1 site. In 2000, only 1 colony was found. By 2009, a total of 6 colonies were observed in the original location in 2009 and an additional small colony was found nearby.",Poor pocket moss now occupies more patches but the original patch is smaller than previously.,Mixed evidence
Porsild's Bryum,Haplodontium macrocarpum,,Moss,Threatened,06/07/2016,01/11/2017,"Maintain or increase the number of sub-populations and colonies. Where feasible, re-establish to known historic locations.","Currently, of 33 habitat patches, 79% have fewer than 50 individuals and 52% have fewer than 20 individuals, which is less than the minimum genetically effective population size of 50. In Alberta and Newfoundland, provinces that contain the majority of all known subpopulations, trends show a loss of approximately 17 colonies.","Where trends data is available (Alberta and Newfoundland), there was an overall decline of 28% in the number of colonies over the last three generations.",No
Poweshiek Skipperling,Oarisma poweshiek,,Insect,Endangered,27/09/2012,01/11/2014,"Ensure a self-sustaining population within and surrounding the Tall Grass Prairie Preserve, distributed within an area similar to that found in surveys.",Population size estimates are unavailable but a decline is suspected. The area of occupancy has changed little since 2002.,"Population decline is uncertain, area of occupancy is stable.",Mixed evidence
Prairie Lupine,Lupinus lepidus,,"Vascular plant, herb",Endangered,11/08/2006,01/04/2009,Manage and enhance the single extant population. Establish additional populations. One additional population (2 sub-populations) has been confirmed since recovery goals were set.,The species was known historically from 9 populations but only 2 populations are confirmed as extant. Consistent sampling has not been done for a long enough period to determine trends in population size and density. There is no evidence overall decline from 1999 to 2009. The new subpopulations found recently were likely always present. One population may now persist in the seed bank.,"No evidence of total population decline has been observed, and 1 additional population was discovered.",Yes
Prothonotary Warbler,Protonotaria citrea,,Bird,Endangered,01/03/2011,01/11/2016,"Recover the Canadian population to at least 40 breeding pairs spread among at least 6 distinct nesting areas. By 2015, increase the current population to at least 15 pairs, spread among at least 5 nesting areas.","Numbers have remained stable or declined slightly from an estimated 28–34 mature individuals in 2005 to 28 in 2015. In Canada, breeding habitat is continuing to deteriorate due to invasive species.","While the rate of decline has slowed, the 2015 population objective was not met.",No
Puget Oregonian Snail,Cryptomastix devia,,Mollusc,Extirpated,23/06/2010,01/05/2013,Confirm the presence/absence of Puget Oregonian Snail within the species' historic range. Protect any extant population(s) if found.,No change. Extensive searches within the historical range have failed to find the species.,No new sightings of this species in Canada have been recorded.,Operational goals
Pugnose Minnow,Opsopoeodus emiliae,,"Fish, freshwater",Special Concern,19/10/2009,01/05/2012,"Maintain, or enhance, existing populations, and improve the quality and quantity of associated habitat by 2029.",The sizes of Canadian populations are unknown and existing evidence is insufficient to determine trends in population numbers. There is evidence of continuing decline in extent of occurrence and quality of habitat. The Thames River population has been lost and possibly the MacDougall Drain population (last observed in 1984). New populations have been confirmed in Whitebread Drain.,There is evidence of continuing decline in extent of occurrence and the quality of habitat.,No
Pugnose Shiner,Notropis anogenus,,"Fish, freshwater",Endangered,25/01/2013,01/05/2013,Maintain self-sustaining populations at existing locations. Restore self-sustaining populations to historic locations where feasible.,"Population sizes are not known in Canada. The known area of occupancy has increased since 2002, likely due to increasing knowledge of the distribution of the species, rather than expansion by the species itself. The species' numerous small populations may not be viable and habitat degradation and loss continues to occur.",Population trends are not available.,Insufficient data to determine trends
Pygmy Short-horned Lizard,Phrynosoma douglasii,,Reptile,Extirpated,22/12/2017,01/11/2018,"The recovery of the pygmy short-horned lizard in Canada is not considered technically and biologically feasible. This may be revisited if relict populations are discovered, and/or if translocation and reintroduction becomes feasible and appropriate.",Confirmed occurrences include 2 specimens. Last reliable sighting in 1957.,n/a,Not feasible
Pygmy Snaketail,Ophiogomphus howei,,Insect,Special Concern,18/04/2013,01/11/2018,Maintain presence of existing populations at all sites where they are currently known to occur and conserve new occurrences that are identified.,Insufficient data to determine population sizes,There is insufficient data available to determine population trends.,Insufficient data to determine trends
Rainbow Smelt,Osmerus mordax,Lake Utopia small-bodied population,"Fish, freshwater",Threatened,26/10/2016,01/11/2018,Maintain the current population distribution and abundance of the small-bodied and large-bodied populations of Lake Utopia Rainbow Smelt and the genetic diversity of the Lake Utopia Rainbow Smelt sympatric species pair.,"Based on samples conducted from 1998 to present, the population abundance of the Lake Utopia sympatric pair appears fairly consistent from year to year.","The high abundance of Small Smelt spawners and their apparent restriction to only a few of the available tributaries may indicate that the lake itself is at maximum carrying capacity, at least for the Small Smelt (Curry et al. 2004).",Yes
Rayed Bean,Villosa fabalis,,Mollusc,Endangered,29/01/2007,11/06/2013,Return/maintain healthy self-sustaining populations to the Sydenham and Thames rivers and St. Clair River delta.,"In Canada, the Rayed Bean occurs only in Ontario where its range once included the Detroit, Sydenham and Thames rivers and western Lake Erie. The current distribution is restricted to the Sydenham River and a short reach of the North Thames River. A lack of historical records prevents an estimate of population change. However, there appears to be a much larger population in the Sydenham River than documented prior to 2000; the numbers found recently could not have been overlooked in historical studies.",The population in the Sydenham River appears to have increased.,Yes
Red Crossbill percna subspecies,Loxia curvirostra percna,,Bird,Threatened,25/10/2006,01/04/2016,Prevent extirpation of the percna subspecies from the island of Newfoundland. Support a self-sustaining population.,Populations still remain in Newfoundland but are declining and habitat loss is expected.,Populations are declining.,No
Red Mulberry,Morus rubra,,"Vascular plant, tree",Endangered,28/02/2011,01/11/2014,Maintain all currently existing populations of the species across its Canadian (Ontario) range and prevent further decline in the number of individuals.,The total known Canadian population is 217 individuals. The number of mature individuals has declined 6.3% since 2000 despite ongoing discovery of new trees at some sites. Three of 19 subpopulations appear to have been extirpated since 2000.,Population size and distribution are declining.,No
Rocky Mountain Ridged Mussel,Gonidea angulata,,Mollusc,Special Concern,15/07/2011,28/08/2017,"Maintain viable, self-sustaining, ecologically functioning and broadly distributed populations within suitable habitats in its current distribution/range in B.C.","Population information on the Rocky Mountain Ridged Mussel is unknown and densities likely vary depending on habitat suitability and quality, with lower quality habitat supporting lower mussel densities.","Further efforts will be necessary to meet the management goal of maintaining viable, self-sustaining, ecologically-functioning and broadly-distributed populations of Rocky Mountain Ridged Mussel in British Columbia.",Insufficient data to determine trends
Roseate Tern,Sterna dougallii,,Bird,Endangered,25/10/2006,01/04/2009,"By 2014, have no fewer than 150 pairs of Roseate Terns nesting in at least 3 colonies in Canada. Enhance productivity at managed colonies. Restore a broader distribution by establishing at least 1 more managed colony. The Recovery Strategy was amended in 2010. No changes were made to the recovery goals established in 2006.",The 2007 population estimate for Canada was 200 mature individuals occupying 7 locations (approximately 98% are in only 2 locations). The number of mature birds has been fairly stable over the past decade despite recovery efforts.,Population of 100 pairs below population goal with no increasing trend. ,No
Round Hickorynut,Obovaria subrotunda,,Mollusc,Endangered,13/07/2006,11/06/2013,Return healthy self-sustaining populations to the Sydenham River and Lake St. Clair delta. Re-establish populations in historically occupied habitats.,"Between 2003 and 2013, Round Hickorynut is estimated to have declined between 75% and 95% as populations in the Sydenham River and Lake St. Clair have declined to levels near extirpation. Approximately 55 000 mature individuals were reported in Lake St. Clair in 2001, and the 2013 population was estimated at 825 to 13 750 mature individuals. No mature individuals were found alive during surveys in the Sydenham River between 2002 and 2009, except for 1 in 2012. The 2013 extent of occurrence is 120 square kilometres, which represents a decline of 92% since 2001.",Round Hickorynut declined between 2003 and 2013; extent of occurrence has declined since 2001.,No
Round Pigtoe,Pleurobema sintoxia,,Mollusc,Endangered,29/01/2007,11/06/2013,"Prevent the extirpation of the Round Pigtoe in Canada. Return healthy self-sustaining populations to the Sydenham, Thames and Grand rivers and the St. Clair Delta.","The species occupies a small zone, with continuing declines in habitat area, extent and quality. Numbers of live individuals found were lower in 3 sites. In the Grand River, the number of live individuals found had increased but these individuals were large/old animals and the increase was likely due to an increase in search effort.","There has been a decline in the area, extent and quality of habitat and an apparent decrease in the number of live individuals.",No
Rusty Blackbird,Euphagus carolinus,,Bird,Special Concern,31/07/2015,01/04/2017,"Stop the population decline by 2025. In the longer term, demonstrate a sustained increase.","Since 1970, the population has declined 85 to 90%. However, the population has been fairly stable between 2004 and 2014.",Declines appear to have levelled off.,Yes
Rusty Cord-moss,Entosthodon rubiginosus,,Moss,Endangered,21/09/2012,01/04/2017,"Maintain or improve population sizes for the 6 known extant populations in Canada, as well as any other populations that may be identified.","Rusty Cord-moss is now known from 17 sites, most of which are small. Resurveyed subpopulations appear stable, but many sites with small subpopulations could not be relocated in 2015, making it difficult to estimate trends.",Population sizes appear stable. Some sites with a few individuals may have disappeared.,Mixed evidence
Salamander Mussel,Simpsonaias ambigua,,Mollusc,Endangered,29/01/2007,11/06/2013,Prevent the extirpation of the Salamander Mussel in Canada. Return/maintain healthy self-sustaining populations to the Sydenham and Thames rivers and St. Clair River delta.,"The Salamander Mussel appears to be restricted to the East Sydenham River in Canada, where 17 live animals were found at 4 different sites during extensive surveys in 1997 to 1999. Although the data are few, there is no evidence that the population in the Sydenham River is declining. Habitat quality continues to decline from intense agriculture, urban development, and pollution from point and non-point sources.",Habitat quality continues to decline and the species is currently found in only 1 river.,No
Sand-dune Short-capsuled Willow,Salix brachycarpa var. psammophila,,"Vascular plant, herb",Special Concern,18/12/2013,01/04/2018,Maintain current population density and area of occupancy.,Population estimated to be 4 240 000 to 90 500 000 individuals. Potential decline in extent of occurrence based on forest ingress along western margins of William River dunes. Decline in habitat due to net conversion of open dune area to forest.,No information available to directly assess population trends,Insufficient data to determine trends
